transaction_id,sender,receiver,amount,timestamp,type,cycle_id,smurfing_case_id,anomaly_id
TXN_001405,ACC_000036,ACC_000092,3477.46,2025-12-30T23:21:12.377157,normal,,,
TXN_000847,ACC_000018,ACC_000087,9033.21,2025-12-30T23:27:43.377157,normal,,,
TXN_000086,ACC_000092,ACC_000038,9452.58,2025-12-31T00:16:52.377157,normal,,,
TXN_001539,ACC_000094,ACC_000023,3759.45,2025-12-31T00:20:56.377157,normal,,,
TXN_001662,ACC_000044,ACC_000072,5267.63,2025-12-31T00:50:53.377157,normal,,,
TXN_001184,ACC_000070,ACC_000044,1491.73,2025-12-31T01:30:33.377157,normal,,,
TXN_000262,ACC_000025,ACC_000093,3050.82,2025-12-31T01:30:48.377157,normal,,,
TXN_001623,ACC_000092,ACC_000009,4979.94,2025-12-31T02:12:21.377157,normal,,,
TXN_001260,ACC_000095,ACC_000091,6477.9,2025-12-31T02:33:47.377157,normal,,,
TXN_001628,ACC_000052,ACC_000018,3069.46,2025-12-31T02:37:48.377157,normal,,,
TXN_001482,ACC_000002,ACC_000021,6220.03,2025-12-31T02:41:34.377157,normal,,,
TXN_000187,ACC_000071,ACC_000047,2793.91,2025-12-31T03:20:54.377157,normal,,,
TXN_001503,ACC_000071,ACC_000068,6407.13,2025-12-31T03:37:54.377157,normal,,,
TXN_000029,ACC_000066,ACC_000090,7631.61,2025-12-31T04:04:45.377157,normal,,,
TXN_000143,ACC_000012,ACC_000031,3675.75,2025-12-31T04:07:19.377157,normal,,,
TXN_000162,ACC_000080,ACC_000021,9767.12,2025-12-31T04:27:10.377157,normal,,,
TXN_001396,ACC_000012,ACC_000006,5091.75,2025-12-31T04:44:28.377157,normal,,,
TXN_000889,ACC_000057,ACC_000018,5807.06,2025-12-31T05:18:24.377157,normal,,,
TXN_001095,ACC_000092,ACC_000025,262.37,2025-12-31T05:22:18.377157,normal,,,
TXN_000907,ACC_000086,ACC_000084,6953.59,2025-12-31T05:30:39.377157,normal,,,
TXN_001097,ACC_000051,ACC_000028,1483.7,2025-12-31T06:00:31.377157,normal,,,
TXN_001705,ACC_000042,ACC_000096,1495.64,2025-12-31T06:18:37.377157,normal,,,
