transaction_id,sender,receiver,amount,timestamp,type,cycle_id,smurfing_case_id,anomaly_id
TXN_000398,ACC_000021,ACC_000025,9945.0,2025-12-30T23:25:18.374241,normal,,,
TXN_000389,ACC_000017,ACC_000033,4374.27,2025-12-30T23:26:48.374241,normal,,,
TXN_000202,ACC_000040,ACC_000035,8891.23,2025-12-31T05:57:06.374241,normal,,,
TXN_000269,ACC_000046,ACC_000048,3611.12,2025-12-31T06:12:16.374241,normal,,,
TXN_000231,ACC_000025,ACC_000000,5023.35,2025-12-31T07:38:08.374241,normal,,,
TXN_000089,ACC_000037,ACC_000005,6727.69,2025-12-31T09:03:39.374241,normal,,,
TXN_000067,ACC_000034,ACC_000015,9334.17,2025-12-31T09:06:13.374241,normal,,,
TXN_000305,ACC_000017,ACC_000042,8115.84,2025-12-31T10:19:06.374241,normal,,,
TXN_000210,ACC_000042,ACC_000045,8681.94,2025-12-31T11:35:30.374241,normal,,,
TXN_000064,ACC_000018,ACC_000034,5780.38,2025-12-31T12:03:37.374241,normal,,,
TXN_000021,ACC_000017,ACC_000018,9877.89,2025-12-31T19:31:05.374241,normal,,,
TXN_000391,ACC_000046,ACC_000048,422.56,2025-12-31T19:39:35.374241,normal,,,
TXN_000107,ACC_000011,ACC_000033,3552.85,2025-12-31T22:01:56.374241,normal,,,
TXN_000171,ACC_000019,ACC_000032,5948.65,2025-12-31T22:13:02.374241,normal,,,
TXN_000051,ACC_000003,ACC_000023,7611.76,2025-12-31T23:10:50.374241,normal,,,
TXN_000350,ACC_000047,ACC_000001,6976.29,2026-01-01T05:55:00.374241,normal,,,
TXN_000266,ACC_000002,ACC_000004,4845.97,2026-01-01T07:49:31.374241,normal,,,
TXN_000099,ACC_000017,ACC_000042,5174.39,2026-01-01T08:05:44.374241,normal,,,
TXN_000327,ACC_000047,ACC_000029,6683.44,2026-01-01T09:36:31.374241,normal,,,
TXN_000386,ACC_000038,ACC_000000,9310.96,2026-01-01T10:23:05.374241,normal,,,
TXN_000151,ACC_000019,ACC_000023,4529.84,2026-01-01T10:53:03.374241,normal,,,
TXN_000185,ACC_000034,ACC_000008,2597.19,2026-01-01T11:21:11.374241,normal,,,
TXN_000325,ACC_000011,ACC_000008,9121.65,2026-01-01T14:05:49.374241,normal,,,
TXN_000131,ACC_000036,ACC_000029,9316.54,2026-01-01T15:44:26.374241,normal,,,
TXN_000061,ACC_000026,ACC_000023,115.39,2026-01-01T15:53:18.374241,normal,,,
TXN_000376,ACC_000000,ACC_000012,6281.97,2026-01-01T16:41:58.374241,normal,,,
TXN_000175,ACC_000042,ACC_000009,4592.53,2026-01-01T16:53:17.374241,normal,,,
TXN_000141,ACC_000048,ACC_000043,5512.72,2026-01-01T16:58:15.374241,normal,,,
TXN_000143,ACC_000032,ACC_000010,6451.05,2026-01-01T17:03:19.374241,normal,,,
TXN_000011,ACC_000006,ACC_000024,6815.71,2026-01-01T17:51:41.374241,normal,,,
TXN_000293,ACC_000016,ACC_000008,2787.9,2026-01-01T19:55:53.374241,normal,,,
TXN_000109,ACC_000007,ACC_000017,5442.06,2026-01-01T20:12:32.374241,normal,,,
TXN_000309,ACC_000008,ACC_000014,1497.28,2026-01-01T21:52:28.374241,normal,,,
TXN_000102,ACC_000037,ACC_000038,5322.77,2026-01-01T22:47:24.374241,normal,,,
TXN_000304,ACC_000044,ACC_000049,8197.25,2026-01-02T03:08:46.374241,normal,,,
TXN_000204,ACC_000026,ACC_000008,8586.27,2026-01-02T07:31:19.374241,normal,,,
TXN_000146,ACC_000020,ACC_000041,195.34,2026-01-02T09:44:46.374241,normal,,,
TXN_000031,ACC_000038,ACC_000039,5799.48,2026-01-02T10:00:32.374241,normal,,,
TXN_000160,ACC_000039,ACC_000016,7722.22,2026-01-02T11:13:43.374241,normal,,,
TXN_000126,ACC_000016,ACC_000015,8912.74,2026-01-02T16:05:06.374241,normal,,,
TXN_000072,ACC_000042,ACC_000022,8988.48,2026-01-02T16:35:33.374241,normal,,,
TXN_000274,ACC_000031,ACC_000030,6380.42,2026-01-02T16:42:32.374241,normal,,,
TXN_000123,ACC_000045,ACC_000027,8240.54,2026-01-02T19:03:03.374241,normal,,,
TXN_000298,ACC_000042,ACC_000008,3989.37,2026-01-02T21:21:05.374241,normal,,,
TXN_000138,ACC_000019,ACC_000016,571.94,2026-01-02T23:04:10.374241,normal,,,
TXN_000079,ACC_000048,ACC_000013,7532.3,2026-01-02T23:16:10.374241,normal,,,
TXN_000096,ACC_000045,ACC_000021,4463.79,2026-01-03T00:54:49.374241,normal,,,
TXN_000275,ACC_000017,ACC_000006,8615.59,2026-01-03T03:54:31.374241,normal,,,
TXN_000140,ACC_000035,ACC_000016,9637.42,2026-01-03T04:15:45.374241,normal,,,
TXN_000334,ACC_000015,ACC_000010,6574.83,2026-01-03T08:23:20.374241,normal,,,
TXN_000195,ACC_000047,ACC_000018,6345.0,2026-01-03T10:57:31.374241,normal,,,
TXN_000081,ACC_000039,ACC_000047,9093.7,2026-01-03T14:04:30.374241,normal,,,
TXN_000352,ACC_000049,ACC_000003,4760.49,2026-01-03T15:49:00.374241,normal,,,
TXN_000002,ACC_000040,ACC_000025,3543.1,2026-01-03T16:18:11.374241,normal,,,
TXN_000349,ACC_000044,ACC_000007,2180.8,2026-01-03T17:19:19.374241,normal,,,
TXN_000129,ACC_000032,ACC_000024,3591.51,2026-01-04T02:31:29.374241,normal,,,
TXN_000004,ACC_000043,ACC_000028,7333.48,2026-01-04T15:05:26.374241,normal,,,
TXN_000271,ACC_000032,ACC_000011,7595.49,2026-01-04T16:27:22.374241,normal,,,
TXN_000125,ACC_000038,ACC_000025,9015.6,2026-01-04T16:48:38.374241,normal,,,
TXN_000225,ACC_000025,ACC_000032,4156.09,2026-01-04T17:58:48.374241,normal,,,
TXN_000114,ACC_000014,ACC_000036,9583.29,2026-01-04T18:16:16.374241,normal,,,
TXN_000056,ACC_000013,ACC_000014,7563.31,2026-01-04T19:14:59.374241,normal,,,
TXN_000247,ACC_000028,ACC_000007,2772.94,2026-01-04T20:13:15.374241,normal,,,
TXN_000113,ACC_000023,ACC_000040,1600.05,2026-01-04T20:35:06.374241,normal,,,
TXN_000348,ACC_000011,ACC_000043,1241.55,2026-01-04T21:47:18.374241,normal,,,
