transaction_id,sender,receiver,amount,timestamp,type,cycle_id,smurfing_case_id,anomaly_id
TXN_000015,ACC_000019,ACC_000015,3371.23,2025-12-30T23:12:58.371208,normal,,,
TXN_000071,ACC_000000,ACC_000008,7014.87,2025-12-31T01:35:30.371208,normal,,,
TXN_000070,ACC_000010,ACC_000008,8285.15,2025-12-31T10:21:21.371208,normal,,,
TXN_000004,ACC_000017,ACC_000019,1701.89,2025-12-31T13:02:50.371208,normal,,,
TXN_000045,ACC_000001,ACC_000007,9847.49,2026-01-01T19:36:17.371208,normal,,,
TXN_000020,ACC_000013,ACC_000015,9984.31,2026-01-01T21:06:08.371208,normal,,,
TXN_000056,ACC_000011,ACC_000016,3648.19,2026-01-02T03:01:14.371208,normal,,,
TXN_000066,ACC_000014,ACC_000012,7035.54,2026-01-02T05:23:03.371208,normal,,,
TXN_000072,ACC_000015,ACC_000018,6201.55,2026-01-02T07:46:55.371208,normal,,,
TXN_000033,ACC_000009,ACC_000018,5310.0,2026-01-02T08:30:33.371208,normal,,,
TXN_000026,ACC_000008,ACC_000013,9869.48,2026-01-02T15:24:59.371208,normal,,,
TXN_000032,ACC_000000,ACC_000013,6375.9,2026-01-02T20:49:16.371208,normal,,,
TXN_000051,ACC_000000,ACC_000010,8419.78,2026-01-02T23:52:48.371208,normal,,,
TXN_000031,ACC_000006,ACC_000002,6640.07,2026-01-03T04:03:36.371208,normal,,,
TXN_000001,ACC_000019,ACC_000005,3215.23,2026-01-03T16:44:47.371208,normal,,,
TXN_000021,ACC_000008,ACC_000011,5014.44,2026-01-03T19:03:06.371208,normal,,,
TXN_000044,ACC_000012,ACC_000005,9881.39,2026-01-04T09:51:31.371208,normal,,,
TXN_000048,ACC_000004,ACC_000005,9213.52,2026-01-04T10:20:35.371208,normal,,,
TXN_000075,ACC_000016,ACC_000018,191.7,2026-01-04T20:27:32.371208,normal,,,
TXN_000012,ACC_000018,ACC_000011,6263.37,2026-01-05T05:57:53.371208,normal,,,
TXN_000005,ACC_000007,ACC_000006,3709.75,2026-01-05T11:17:52.371208,normal,,,
TXN_000047,ACC_000013,ACC_000011,2684.76,2026-01-05T19:45:40.371208,normal,,,
TXN_000067,ACC_000001,ACC_000016,4603.36,2026-01-06T17:30:39.371208,normal,,,
TXN_000057,ACC_000018,ACC_000011,8116.96,2026-01-07T04:25:12.371208,normal,,,
TXN_000019,ACC_000015,ACC_000012,2172.81,2026-01-07T05:13:49.371208,normal,,,
TXN_000058,ACC_000005,ACC_000009,7363.2,2026-01-08T12:45:30.371208,normal,,,
TXN_000062,ACC_000008,ACC_000006,4096.25,2026-01-09T03:08:37.371208,normal,,,
TXN_000046,ACC_000013,ACC_000002,5244.49,2026-01-09T12:48:59.371208,normal,,,
TXN_000043,ACC_000000,ACC_000015,4200.17,2026-01-09T14:45:57.371208,normal,,,
TXN_000069,ACC_000012,ACC_000009,6325.4,2026-01-09T18:27:50.371208,normal,,,
TXN_000014,ACC_000009,ACC_000010,1648.38,2026-01-10T02:33:48.371208,normal,,,
TXN_000050,ACC_000010,ACC_000003,9353.4,2026-01-11T05:47:46.371208,normal,,,
TXN_000073,ACC_000000,ACC_000016,438.74,2026-01-11T13:55:09.371208,normal,,,
TXN_000017,ACC_000017,ACC_000000,5586.82,2026-01-12T07:12:38.371208,normal,,,
TXN_000035,ACC_000001,ACC_000005,8620.62,2026-01-12T21:50:05.371208,normal,,,
TXN_000079,ACC_000002,ACC_000003,1099.63,2026-01-13T06:09:11.371208,normal,,,
TXN_000039,ACC_000006,ACC_000007,5035.46,2026-01-13T13:24:11.371208,normal,,,
TXN_000016,ACC_000008,ACC_000013,3514.92,2026-01-13T13:51:04.371208,normal,,,
TXN_000030,ACC_000011,ACC_000002,8866.76,2026-01-13T21:58:45.371208,normal,,,
TXN_000059,ACC_000009,ACC_000010,3516.7,2026-01-14T03:54:22.371208,normal,,,
TXN_000076,ACC_000014,ACC_000017,2326.64,2026-01-14T07:33:09.371208,normal,,,
TXN_000080,ACC_000000,ACC_000010,5000.0,2026-01-14T22:13:31.371430,money_laundering,CYCLE_000,,
TXN_000081,ACC_000010,ACC_000009,4750.0,2026-01-14T23:13:31.371430,money_laundering,CYCLE_000,,
TXN_000082,ACC_000009,ACC_000000,4512.5,2026-01-15T00:13:31.371430,money_laundering,CYCLE_000,,
TXN_000053,ACC_000000,ACC_000013,2329.08,2026-01-15T16:06:48.371208,normal,,,
TXN_000061,ACC_000007,ACC_000014,6903.23,2026-01-15T22:22:32.371208,normal,,,
TXN_000003,ACC_000019,ACC_000010,6031.65,2026-01-17T08:00:16.371208,normal,,,
TXN_000055,ACC_000014,ACC_000012,3555.96,2026-01-17T08:31:34.371208,normal,,,
TXN_000036,ACC_000017,ACC_000009,4077.59,2026-01-17T15:42:44.371208,normal,,,
TXN_000042,ACC_000018,ACC_000017,8757.29,2026-01-18T01:30:57.371208,normal,,,
