transaction_id,sender,receiver,amount,timestamp,type,cycle_id,smurfing_case_id,anomaly_id
TXN_000292,ACC_000014,ACC_000060,144.22,2026-01-01T18:20:19.838435,normal,,,
TXN_000622,ACC_000008,ACC_000016,7559.15,2026-01-01T19:07:16.838435,normal,,,
TXN_000395,ACC_000046,ACC_000066,5780.14,2026-01-01T20:35:14.838435,normal,,,
TXN_000420,ACC_000027,ACC_000052,9192.99,2026-01-01T21:08:28.838435,normal,,,
TXN_000756,ACC_000047,ACC_000045,5662.41,2026-01-01T21:20:58.838435,normal,,,
TXN_000936,ACC_000010,ACC_000089,829.32,2026-01-01T21:44:25.838435,normal,,,
TXN_000924,ACC_000096,ACC_000043,3967.26,2026-01-01T22:40:09.838435,normal,,,
TXN_000829,ACC_000041,ACC_000036,8835.47,2026-01-01T22:42:38.838435,normal,,,
TXN_000060,ACC_000091,ACC_000044,6632.88,2026-01-02T00:48:19.838435,normal,,,
TXN_000185,ACC_000032,ACC_000001,2067.4,2026-01-02T01:04:17.838435,normal,,,
TXN_000228,ACC_000088,ACC_000081,5037.41,2026-01-02T02:13:54.838435,normal,,,
TXN_000599,ACC_000099,ACC_000009,561.29,2026-01-02T02:36:34.838435,normal,,,
TXN_000750,ACC_000019,ACC_000063,8025.99,2026-01-02T04:08:41.838435,normal,,,
TXN_000626,ACC_000062,ACC_000061,5330.0,2026-01-02T05:25:48.838435,normal,,,
TXN_000980,ACC_000026,ACC_000078,1445.3,2026-01-02T05:36:47.838435,normal,,,
TXN_000302,ACC_000036,ACC_000098,654.34,2026-01-02T06:01:02.838435,normal,,,
TXN_000845,ACC_000041,ACC_000079,6310.24,2026-01-02T06:18:22.838435,normal,,,
TXN_000275,ACC_000023,ACC_000015,5807.66,2026-01-02T06:23:46.838435,normal,,,
TXN_000342,ACC_000026,ACC_000086,4530.11,2026-01-02T06:58:55.838435,normal,,,
TXN_000402,ACC_000018,ACC_000075,551.97,2026-01-02T07:03:36.838435,normal,,,
TXN_000659,ACC_000014,ACC_000093,9109.8,2026-01-02T07:45:11.838435,normal,,,
TXN_000810,ACC_000066,ACC_000093,6802.16,2026-01-02T07:52:10.838435,normal,,,
TXN_000273,ACC_000085,ACC_000055,3104.62,2026-01-02T08:30:17.838435,normal,,,
TXN_000380,ACC_000008,ACC_000065,5443.01,2026-01-02T10:15:49.838435,normal,,,
TXN_000281,ACC_000043,ACC_000030,242.13,2026-01-02T11:53:33.838435,normal,,,
TXN_000876,ACC_000097,ACC_000033,3554.84,2026-01-02T12:18:46.838435,normal,,,
TXN_000374,ACC_000062,ACC_000083,6833.37,2026-01-02T12:37:13.838435,normal,,,
TXN_000592,ACC_000022,ACC_000057,1669.24,2026-01-02T12:45:38.838435,normal,,,
TXN_000932,ACC_000062,ACC_000054,4038.3,2026-01-02T12:59:25.838435,normal,,,
TXN_000263,ACC_000062,ACC_000051,7253.53,2026-01-02T13:52:33.838435,normal,,,
TXN_000030,ACC_000055,ACC_000004,5937.9,2026-01-02T15:13:05.838435,normal,,,
TXN_000653,ACC_000004,ACC_000042,8642.98,2026-01-02T15:56:20.838435,normal,,,
TXN_000660,ACC_000054,ACC_000079,4827.33,2026-01-02T16:03:03.838435,normal,,,
TXN_000588,ACC_000056,ACC_000003,3764.28,2026-01-02T16:51:33.838435,normal,,,
TXN_000127,ACC_000052,ACC_000092,4844.3,2026-01-02T18:06:30.838435,normal,,,
TXN_000613,ACC_000044,ACC_000032,3817.3,2026-01-02T18:32:42.838435,normal,,,
TXN_000962,ACC_000003,ACC_000007,689.83,2026-01-02T18:39:01.838435,normal,,,
TXN_000788,ACC_000078,ACC_000073,5578.68,2026-01-02T21:31:26.838435,normal,,,
TXN_000157,ACC_000039,ACC_000090,6741.32,2026-01-02T21:35:08.838435,normal,,,
TXN_000567,ACC_000043,ACC_000020,2354.38,2026-01-02T22:01:43.838435,normal,,,
TXN_000349,ACC_000097,ACC_000083,5668.35,2026-01-02T22:05:10.838435,normal,,,
TXN_000018,ACC_000065,ACC_000080,372.44,2026-01-02T23:09:10.838435,normal,,,
TXN_000479,ACC_000061,ACC_000063,4316.92,2026-01-02T23:09:19.838435,normal,,,
TXN_000455,ACC_000022,ACC_000088,9034.91,2026-01-02T23:19:50.838435,normal,,,
TXN_000475,ACC_000057,ACC_000016,8125.89,2026-01-03T00:19:18.838435,normal,,,
TXN_000870,ACC_000087,ACC_000079,450.01,2026-01-03T01:21:38.838435,normal,,,
TXN_000312,ACC_000001,ACC_000074,8212.86,2026-01-03T01:22:27.838435,normal,,,
TXN_000204,ACC_000063,ACC_000074,5497.97,2026-01-03T02:58:40.838435,normal,,,
TXN_000995,ACC_000012,ACC_000038,8937.61,2026-01-03T03:43:23.838435,normal,,,
TXN_000052,ACC_000097,ACC_000008,6987.72,2026-01-03T03:56:56.838435,normal,,,
TXN_000867,ACC_000078,ACC_000065,8984.46,2026-01-03T04:02:10.838435,normal,,,
TXN_000160,ACC_000001,ACC_000010,9619.35,2026-01-03T04:45:19.838435,normal,,,
TXN_000757,ACC_000018,ACC_000088,383.97,2026-01-03T05:15:15.838435,normal,,,
TXN_000696,ACC_000047,ACC_000085,9634.94,2026-01-03T05:39:14.838435,normal,,,
TXN_000105,ACC_000042,ACC_000066,2342.24,2026-01-03T05:47:58.838435,normal,,,
TXN_000446,ACC_000039,ACC_000092,1843.58,2026-01-03T07:12:51.838435,normal,,,
TXN_000382,ACC_000039,ACC_000069,917.98,2026-01-03T07:34:36.838435,normal,,,
TXN_000578,ACC_000085,ACC_000014,3532.51,2026-01-03T07:46:49.838435,normal,,,
TXN_000159,ACC_000060,ACC_000079,7707.66,2026-01-03T08:16:39.838435,normal,,,
TXN_000802,ACC_000045,ACC_000063,5322.43,2026-01-03T08:18:28.838435,normal,,,
TXN_000401,ACC_000019,ACC_000065,7282.1,2026-01-03T08:20:41.838435,normal,,,
TXN_000675,ACC_000049,ACC_000073,3279.62,2026-01-03T09:59:24.838435,normal,,,
TXN_000832,ACC_000081,ACC_000085,7583.44,2026-01-03T10:57:55.838435,normal,,,
TXN_000942,ACC_000091,ACC_000076,3014.82,2026-01-03T11:07:32.838435,normal,,,
TXN_000799,ACC_000012,ACC_000080,7275.45,2026-01-03T11:18:34.838435,normal,,,
TXN_000513,ACC_000044,ACC_000055,9193.73,2026-01-03T11:55:24.838435,normal,,,
TXN_000388,ACC_000076,ACC_000056,7606.4,2026-01-03T13:01:10.838435,normal,,,
TXN_000175,ACC_000055,ACC_000020,4128.65,2026-01-03T13:55:15.838435,normal,,,
TXN_000765,ACC_000095,ACC_000031,4783.52,2026-01-03T15:02:39.838435,normal,,,
TXN_000614,ACC_000039,ACC_000080,4374.07,2026-01-03T16:07:39.838435,normal,,,
TXN_000386,ACC_000062,ACC_000039,8282.61,2026-01-03T16:23:54.838435,normal,,,
TXN_000860,ACC_000089,ACC_000061,5856.33,2026-01-03T16:32:57.838435,normal,,,
TXN_000521,ACC_000006,ACC_000041,9645.19,2026-01-03T17:16:31.838435,normal,,,
TXN_000428,ACC_000051,ACC_000039,6358.73,2026-01-03T17:36:17.838435,normal,,,
TXN_000990,ACC_000060,ACC_000032,1672.08,2026-01-03T17:51:13.838435,normal,,,
TXN_000647,ACC_000068,ACC_000010,7716.57,2026-01-03T18:12:56.838435,normal,,,
TXN_000837,ACC_000011,ACC_000077,212.14,2026-01-03T19:22:22.838435,normal,,,
TXN_000468,ACC_000019,ACC_000014,6818.52,2026-01-03T19:31:26.838435,normal,,,
TXN_000190,ACC_000084,ACC_000078,8016.55,2026-01-03T20:02:47.838435,normal,,,
TXN_000683,ACC_000025,ACC_000063,3755.47,2026-01-03T20:13:17.838435,normal,,,
TXN_000271,ACC_000019,ACC_000035,3679.03,2026-01-03T22:00:57.838435,normal,,,
TXN_000000,ACC_000097,ACC_000005,3982.7,2026-01-03T22:46:18.838435,normal,,,
TXN_000697,ACC_000086,ACC_000039,649.54,2026-01-04T00:41:10.838435,normal,,,
TXN_000467,ACC_000091,ACC_000063,3290.76,2026-01-04T00:56:45.838435,normal,,,
TXN_000855,ACC_000073,ACC_000005,4666.23,2026-01-04T01:10:27.838435,normal,,,
TXN_000517,ACC_000037,ACC_000001,8608.04,2026-01-04T01:28:33.838435,normal,,,
TXN_000130,ACC_000004,ACC_000099,2779.95,2026-01-04T02:36:20.838435,normal,,,
TXN_000471,ACC_000065,ACC_000083,3319.42,2026-01-04T02:42:00.838435,normal,,,
TXN_000490,ACC_000068,ACC_000041,1146.02,2026-01-04T02:49:19.838435,normal,,,
